City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
nara,90,JP,1551620671,93,34.68,135.8,50,10.29
luziania,40,BR,1551618000,83,-16.25,-47.95,71.6,4.7
kharp,8,RU,1551620841,25,66.82,65.8,-17.46,6.85
weston,1,US,1551620840,64,41.2,-73.38,41,8.05
ifanadiana,92,MG,1551620842,86,-21.3,47.64,74.03,2.59
broome,90,GB,1551620826,93,52.47,1.45,55.4,23.04
sao jose da coroa grande,44,BR,1551620842,86,-8.9,-35.15,83.07,9.08
cabra,0,ES,1551620824,35,37.47,-4.43,71.6,3.36
baijiantan,88,CN,1551620843,81,45.63,85.18,14.36,3.94
richards bay,92,ZA,1551620843,89,-28.77,32.06,72.41,5.39
bell ville,76,AR,1551620843,82,-32.63,-62.69,75.92,13.78
hirara,68,JP,1551620843,100,24.8,125.28,70.43,22.06
emporia,90,US,1551620240,85,38.4,-96.18,10.4,21.92
miraflores,88,CO,1551620844,93,5.2,-73.14,56.3,2.48
kaeo,0,NZ,1551620504,100,-35.1,173.78,57,2.71
elk plain,90,US,1551620841,79,47.04,-122.37,35.6,2.93
atar,0,MR,1551620845,10,20.52,-13.05,86.49,7.18
agadez,0,NE,1551618000,15,16.97,7.99,89.6,4.7
gasa,88,BT,1551620845,83,27.91,89.73,12.83,2.59
creel,0,MX,1551620845,75,27.75,-107.63,41.67,2.59
celestun,0,MX,1551620846,95,20.87,-90.4,78.48,17.25
cotonou,40,BJ,1551618000,70,6.37,2.43,89.6,11.41
asosa,0,ET,1551620846,18,10.07,34.53,86.18,9.08
miyang,32,CN,1551620846,53,24.4,103.44,54,7.96
dhangadhi,0,NP,1551620846,91,28.7,80.57,53.15,1.59
mayo,5,CA,1551618000,75,63.59,-135.9,-18.41,2.59
port moresby,24,PG,1551620847,97,-9.47,147.16,82.22,7.07
lyuban,92,BY,1551620847,66,52.8,28,38.57,15.9
ca mau,0,VN,1551620847,94,9.18,105.15,73.4,8.63
samarai,0,PG,1551620847,100,-10.62,150.67,80.55,3.94
necochea,0,AR,1551620779,56,-38.55,-58.74,73,3
lensk,80,RU,1551620848,79,60.71,114.91,9.77,2.48
tezu,88,IN,1551620848,66,27.93,96.16,51.08,1.7
buin,40,CL,1551620787,72,-33.73,-70.74,73.99,3.36
athabasca,0,CA,1551620715,45,54.72,-113.29,-16.2,7.96
brits,40,ZA,1551620827,35,-25.63,27.78,91.4,8.05
pimentel,92,BR,1551620849,98,-3.7,-45.5,76.55,3.27
ilulissat,88,GL,1551617400,78,69.22,-51.1,17.6,8.05
chicama,20,PE,1551618000,78,-7.84,-79.15,75.2,10.29
lumeje,56,AO,1551620849,53,-11.56,20.78,83.25,4.16
cayenne,88,GF,1551618000,74,4.94,-52.33,80.6,11.41
ibra,0,OM,1551620850,36,22.69,58.55,64.17,2.04
trinidad,12,UY,1551620851,65,-33.52,-56.9,72.86,11.43
nsanje,64,MZ,1551620851,66,-16.92,35.26,85.5,8.41
selikhino,0,RU,1551620851,54,50.37,137.51,-0.36,1.92
prince rupert,1,CA,1551618000,44,54.32,-130.32,21.2,4.16
sortland,0,NO,1551620780,53,68.69,15.42,24.8,12.75
christchurch,0,NZ,1551620479,100,-43.53,172.64,57.99,6.93
san patricio,0,PY,1551620852,54,-26.98,-56.83,89.73,4.61
vostok,0,RU,1551620852,67,46.45,135.83,8.6,2.04
toyooka,100,JP,1551620852,99,35.55,134.82,41.27,2.59
acton vale,20,CA,1551620827,85,45.65,-72.56,28,11.41
krasnogorsk,75,RU,1551620406,68,55.82,37.34,32,20.13
kulhudhuffushi,88,MV,1551620852,99,6.62,73.07,83.43,9.75
tabuk,76,PH,1551620853,72,17.41,121.44,69.12,2.82
kenora,1,CA,1551620562,68,49.76,-94.48,-20.21,7.4
sao filipe,0,CV,1551620853,85,14.9,-24.5,72.9,18.48
dapaong,8,TG,1551620853,17,10.86,0.2,97.88,8.86
puerto del rosario,40,ES,1551619800,64,28.5,-13.86,69.8,10.29
khed,0,IN,1551620854,48,18.85,73.88,70.47,6.4
birao,0,CF,1551620854,17,10.3,22.78,94.1,13
lake charles,90,US,1551620839,100,30.23,-93.22,66.2,3.36
cuamba,80,MZ,1551620855,100,-14.8,36.54,72.63,4.61
rio cuarto,0,AR,1551618000,49,-33.13,-64.35,71.6,14.99
elizabeth city,90,US,1551620841,93,36.3,-76.22,46.4,5.82
bintulu,75,MY,1551618000,94,3.17,113.03,77,2.48
soyo,20,AO,1551618000,66,-6.13,12.37,89.6,8.05
the valley,20,AI,1551620847,65,18.22,-63.06,80.6,16.11
burnie,12,AU,1551620704,77,-41.05,145.91,61,5.01
beyneu,8,KZ,1551620856,61,45.32,55.19,35.19,11.99
amapa,20,HN,1551620740,88,15.09,-87.97,80.01,3.36
ulaanbaatar,0,MN,1551619800,41,47.92,106.92,19.4,4.47
labytnangi,20,RU,1551620857,43,66.66,66.39,-14.81,7.63
ndola,44,ZM,1551620857,34,-12.97,28.64,87.12,5.17
el sauce,0,SV,1551617400,65,13.67,-87.8,78.8,3.15
funadhoo,76,MV,1551620857,100,6.15,73.27,82.8,9.98
luwingu,44,ZM,1551620858,82,-10.26,29.92,72.9,4.16
north battleford,75,CA,1551620033,63,52.78,-108.3,-9.41,13.87
vallenar,12,CL,1551620858,75,-28.58,-70.76,70.16,2.93
alice springs,40,AU,1551618000,19,-23.7,133.88,86,5.82
aranos,0,NA,1551620858,8,-24.14,19.11,100.08,4.61
linhai,0,CN,1551620685,87,28.86,121.14,51.01,6.29
liwale,80,TZ,1551620859,70,-9.8,37.92,82.58,2.59
kangaatsiaq,24,GL,1551620859,100,68.31,-53.46,10.76,3.49
curumani,0,CO,1551620809,71,9.2,-73.54,84.78,2.26
la joya,0,MX,1551620860,35,19.61,-97.03,72.77,1.7
olinda,75,EC,1551620727,88,-2.03,-79.75,80.6,4.7
chiang khong,0,LA,1551620326,61,20.27,100.41,79,3.36
tolstoy-yurt,90,RU,1551618000,69,43.44,45.77,37.4,8.95
tocopilla,8,CL,1551620860,75,-22.09,-70.2,71.55,4.38
neiafu,20,TO,1551618000,100,-18.65,-173.98,73.4,4.72
anloga,20,GH,1551618000,70,5.79,0.9,89.6,12.75
jalu,0,LY,1551620861,37,29.03,21.55,70.47,11.54
yenagoa,48,NG,1551620861,72,4.92,6.26,87.35,7.29
pak phanang,40,TH,1551618000,78,8.35,100.2,80.6,4.7
sabha,0,LY,1551620862,32,27.03,14.43,71.37,5.61
bonfim,75,BR,1551618000,65,-20.33,-44.24,78.8,8.05
chiang rai,0,TH,1551618000,61,19.9,99.84,77,3.36
roald,0,NO,1551620847,70,62.58,6.12,48.2,9.17
ponte nova,0,BR,1551620862,73,-20.42,-42.91,81.45,8.97
ceres,44,AR,1551620863,65,-29.88,-61.95,84.78,13.56
talnakh,44,RU,1551620863,82,69.49,88.39,3.02,6.06
vangaindrano,64,MG,1551620863,72,-23.35,47.6,82.35,6.06
witu,0,KE,1551620863,54,-2.39,40.44,90.41,11.32
khartoum,0,SD,1551619800,4,15.59,32.54,91.4,11.41
khandyga,0,RU,1551620863,41,62.65,135.58,-27.09,2.48
havre-saint-pierre,75,CA,1551618000,51,50.23,-63.6,10.4,3.36
praia da vitoria,75,PT,1551620704,59,38.73,-27.07,62.6,18.81
yar-sale,48,RU,1551620864,74,66.83,70.83,-11.61,9.98
pangnirtung,32,CA,1551620864,72,66.15,-65.72,-11.34,1.7
meybod,0,IR,1551618000,10,32.25,54.02,64.4,4.7
musoma,40,TZ,1551618000,54,-1.5,33.81,82.4,13.87
sarh,40,TD,1551618000,27,9.14,18.39,102.2,13.87
carberry,40,CA,1551618000,68,49.87,-99.36,-18.41,11.41
jablah,90,SY,1551618000,93,35.36,35.93,51.8,9.17
katsina,0,NG,1551620866,17,12.99,7.6,97.65,4.72
toora-khem,0,RU,1551620866,75,52.47,96.11,9.99,1.36
tommot,56,RU,1551620866,79,58.97,126.27,7.16,2.15
tombouctou,0,ML,1551620866,20,16.77,-3.01,87.98,6.85
karpathos,40,GR,1551617400,63,35.51,27.21,64.4,17.22
kamenka,76,RU,1551620867,87,53.19,44.05,20.25,21.5
honiara,68,SB,1551620867,97,-9.43,159.96,72.63,1.92
sao gabriel,0,BR,1551620867,70,-30.34,-54.32,82.17,8.41
manokwari,80,ID,1551620867,100,-0.87,134.08,79.02,7.07
uglovskoye,0,RU,1551620868,85,51.36,80.19,29.12,9.64
kahului,90,US,1551620807,77,20.89,-156.47,68,6.93
winnemucca,90,US,1551620748,100,40.97,-117.74,30.2,3.36
coruripe,20,BR,1551620868,98,-10.12,-36.18,82.53,10.98
siauliai,0,LT,1551619200,74,55.93,23.32,37.4,16.11
rio gallegos,75,AR,1551618000,76,-51.62,-69.22,48.2,9.17
riverton,90,US,1551620839,70,43.02,-108.38,-0.01,8.05
dunedin,0,NZ,1551620659,93,-45.87,170.5,54,2.15
carinhanha,0,BR,1551620870,71,-14.3,-43.77,85.59,5.73
tiruttani,20,IN,1551618000,66,13.18,79.61,87.8,11.41
karratha,92,AU,1551620821,40,-20.74,116.85,85.46,5.61
sur,0,OM,1551620870,100,22.57,59.53,68.72,10.65
bozhou,0,CN,1551620870,79,33.86,115.78,35.19,5.17
hatfield,75,GB,1551620848,87,51.76,-0.23,55,19.46
beauceville,64,CA,1551620758,89,46.21,-70.77,24.01,4
kununurra,12,AU,1551618000,78,-15.77,128.74,80.6,3.36
springdale,90,US,1551620866,85,36.19,-94.13,27,19.46
noumea,68,NC,1551618000,94,-22.28,166.46,75.2,1.12
eslov,76,SE,1551620834,61,55.84,13.3,51.01,20.8
newport,92,GB,1551620847,93,51.59,-3,54,19.46
seymchan,12,RU,1551620873,59,62.93,152.39,-21.56,4.27
wanning,75,AT,1551620841,50,48.64,13.53,57.99,13.87
karema,92,TZ,1551620873,97,-6.82,30.44,67.5,3.04
venado tuerto,0,AR,1551620746,28,-33.75,-61.97,78.01,8.01
rodrigues alves,75,BR,1551618000,100,-7.74,-72.65,75.2,2.24
saint-pierre,90,FR,1551620825,81,48.95,4.24,55.4,25.28
